Id,PredictedPrice
1461,119523.74
1462,142059.63
1463,204907.55
1464,202201.95
1465,191462.45
1466,207721.37
1467,153486.02
1468,187158.85
1469,171269.94
1470,118008.61
1471,197631.21
1472,132958.72
1473,116410.59
1474,186184.83
1475,113030.31
1476,281205.31
1477,192121.91
1478,208788.37
1479,222208.12
1480,320382.32
1481,272114.51
1482,201202.59
1483,168312.68
1484,176852.24
1485,177310.48
1486,216162.82
1487,268553.24
1488,225552.94
1489,184752.58
1490,211808.52
1491,208154.26
1492,132077.7
1493,186710.72
1494,254917.04
1495,241497.29
1496,213973.0
1497,238338.59
1498,186391.17
1499,186391.17
1500,190287.23
1501,220156.99
1502,173404.32
1503,207514.8
1504,228608.56
1505,186494.27
1506,195054.06
1507,270717.72
1508,260056.34
1509,151933.34
1510,131561.92
1511,125486.16
1512,188442.3
1513,217121.6
1514,128300.21
1515,291363.11
1516,193420.59
1517,144631.66
1518,170703.71
1519,185195.58
1520,118343.39
1521,125161.49
1522,169223.8
1523,139338.8
1524,137705.33
1525,99837.12
1526,129480.33
1527,129155.66
1528,127109.51
1529,125393.17
1530,173527.4
1531,194208.26
1532,123852.69
1533,140421.04
1534,130031.56
1535,171373.04
1536,129382.21
1537,112597.42
1538,194502.83
1539,300856.71
1540,241265.61
1541,185230.81
1542,172686.96
1543,222037.0
1544,105346.42
1545,145064.55
1546,127665.87
1547,155479.38
1548,151475.1
1549,135107.96
1550,163344.49
1551,138138.23
1552,182653.66
1553,167059.32
1554,137931.89
1555,206299.22
1556,130696.13
1557,145291.11
1558,94101.26
1559,174212.2
1560,234751.97
1561,195378.73
1562,91179.22
1563,116060.58
1564,143234.86
1565,126160.84
1566,214549.34
1567,104372.41
1568,215090.69
1569,171353.05
1570,110875.95
1571,160334.21
1572,121481.88
1573,213668.32
1574,165498.86
1575,209138.15
1576,223630.26
1577,185185.47
1578,181407.75
1579,126991.18
1580,211725.65
1581,109267.83
1582,89447.64
1583,242677.65
1584,227752.87
1585,142240.62
1586,91818.45
1587,102001.6
1588,124079.25
1589,143765.87
1590,113256.87
1591,98538.44
1592,193194.03
1593,115194.79
1594,258463.31
1595,174944.42
1596,201159.92
1597,208390.93
1598,207396.69
1599,162370.25
1600,181830.54
1601,108907.7
1602,142358.96
1603,97672.65
1604,231072.36
1605,235967.77
1606,164091.95
1607,221224.22
1608,170693.6
1609,184319.68
1610,184886.15
1611,159350.09
1612,179784.4
1613,170477.15
1614,124826.7
1615,116410.59
1616,116410.59
1617,116410.59
1618,89231.19
1619,112705.64
1620,328247.8
1621,136107.32
1622,129264.11
1623,223738.49
1624,223089.14
1625,118008.61
1626,152305.67
1627,202634.85
1628,247774.27
1629,204799.32
1630,353788.01
1631,212890.76
1632,240596.05
1633,178176.27
1634,205665.11
1635,192678.26
1636,153810.69
1637,237915.8
1638,222558.13
1639,205866.33
1640,289981.55
1641,209762.38
1642,232504.61
1643,231422.37
1644,224604.28
1645,200455.14
1646,145802.13
1647,154135.36
1648,153845.91
1649,111865.2
1650,88148.95
1651,88148.95
1652,132958.72
1653,132958.72
1654,196141.42
1655,167112.1
1656,186184.83
1657,196141.42
1658,186184.83
1659,113030.31
1660,115854.24
1661,331076.49
1662,319732.98
1663,243636.43
1664,345913.02
1665,212900.87
1666,217879.17
1667,245511.68
1668,213658.44
1669,218626.62
1670,220692.98
1671,215498.24
1672,290389.1
1673,290817.24
1674,198831.78
1675,199903.91
1676,222187.9
1677,199903.91
1678,326216.29
1679,266703.33
1680,256829.62
1681,210509.84
1682,210303.5
1683,204990.43
1684,186184.83
1685,189864.44
1686,184969.03
1687,177310.48
1688,205015.77
1689,201119.72
1690,189756.22
1691,173847.32
1692,217579.84
1693,177310.48
1694,192461.81
1695,183371.02
1696,250912.76
1697,183371.02
1698,291496.68
1699,248290.05
1700,251660.22
1701,270166.49
1702,208571.92
1703,208046.04
1704,209221.26
1705,180000.84
1706,322413.23
1707,180433.74
1708,176754.13
1709,190606.77
1710,209644.05
1711,222872.69
1712,223723.25
1713,204892.31
1714,193095.92
1715,207504.92
1716,130046.79
1717,121713.56
1718,123553.36
1719,224712.5
1720,188658.75
1721,118791.52
1722,118791.52
1723,145585.68
1724,209860.5
1725,230350.25
1726,215838.15
1727,197090.09
1728,195275.63
1729,180124.3
1730,200789.92
1731,100702.91
1732,88148.95
1733,116060.58
1734,135412.65
1735,93343.69
1736,93343.69
1737,270898.71
1738,218543.74
1739,353823.47
1740,243316.88
1741,189982.54
1742,220156.99
1743,185751.94
1744,236267.1
1745,214451.23
1746,271150.61
1747,252309.56
1748,258498.54
1749,169611.36
1750,126243.72
1751,221521.23
1752,116060.58
1753,167925.11
1754,223748.6
1755,167879.78
1756,119307.29
1757,88148.95
1758,142044.4
1759,212035.08
1760,140328.05
1761,138055.35
1762,232298.27
1763,137292.66
1764,126450.06
1765,205561.64
1766,182273.54
1767,222522.68
1768,118451.61
1769,142059.63
1770,131949.49
1771,124728.59
1772,144208.87
1773,124512.14
1774,199058.34
1775,109577.26
1776,142900.08
1777,108376.69
1778,134133.95
1779,157092.63
1780,163487.94
1781,124512.14
1782,108268.47
1783,143431.32
1784,134999.74
1785,111308.84
1786,282272.31
1787,180010.95
1788,87381.28
1789,114112.55
1790,132515.72
1791,223784.05
1792,147579.04
1793,107196.34
1794,125476.05
1795,114230.88
1796,146146.79
1797,117261.15
1798,107304.56
1799,101775.04
1800,122672.34
1801,155227.71
1802,156438.16
1803,165770.75
1804,124393.81
1805,107737.46
1806,143775.98
1807,207499.79
1808,139570.48
1809,183464.0
1810,166842.88
1811,181201.41
1812,151243.42
1813,141951.41
1814,115735.91
1815,116699.81
1816,108268.47
1817,188442.3
1818,242229.52
1819,134035.84
1820,110865.84
1821,154814.8
1822,131340.35
1823,108809.59
1824,149620.06
1825,204026.52
1826,118235.16
1827,130237.89
1828,196234.41
1829,138571.12
1830,216364.03
1831,235411.42
1832,227412.97
1833,205984.66
1834,149078.94
1835,146605.26
1836,174944.42
1837,147002.47
1838,150068.19
1839,98744.77
1840,185273.71
1841,177609.81
1842,117457.61
1843,112081.64
1844,106547.0
1845,189101.75
1846,117802.27
1847,194450.05
1848,93982.93
1849,172228.72
1850,138679.35
1851,175609.0
1852,112499.3
1853,166462.76
1854,168878.91
1855,170945.27
1856,231963.49
1857,184911.12
1858,182412.1
1859,163236.27
1860,132354.71
1861,160855.34
1862,310844.0
1863,310844.0
1864,310844.0
1865,235869.43
1866,211169.29
1867,183896.9
1868,223939.7
1869,192544.69
1870,188648.64
1871,187143.61
1872,182505.23
1873,218976.64
1874,101785.15
1875,183355.78
1876,220383.55
1877,181299.53
1878,186494.27
1879,92802.58
1880,121471.77
1881,199372.9
1882,237060.12
1883,215297.03
1884,230989.48
1885,216678.59
1886,222857.46
1887,178377.49
1888,198398.89
1889,179691.41
1890,118992.73
1891,138571.12
1892,89447.64
1893,142693.74
1894,122889.02
1895,191384.33
1896,135118.07
1897,135457.98
1898,132644.16
1899,127975.3
1900,127542.41
1901,195728.51
1902,160324.1
1903,241182.73
1904,142900.08
1905,193961.71
1906,189849.21
1907,204504.75
1908,134242.17
1909,159148.88
1910,159148.88
1911,243110.54
1912,280973.63
1913,203830.29
1914,84459.23
1915,231288.8
1916,138128.12
1917,250686.21
1918,122770.45
1919,165425.86
1920,225552.94
1921,245368.01
1922,202619.61
1923,270707.61
1924,188673.98
1925,246573.7
1926,267002.65
1927,103733.18
1928,176970.58
1929,108701.36
1930,140627.38
1931,118116.83
1932,137514.23
1933,146939.81
1934,202201.95
1935,187699.97
1936,202201.95
1937,205665.11
1938,174806.1
1939,236085.87
1940,191462.45
1941,205340.44
1942,213565.45
1943,197631.21
1944,273727.99
1945,256829.62
1946,154165.46
